start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,snopt_solve_time,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,median_velocity_utilization,velocity_active_fraction,median_acceleration_utilization,acceleration_active_fraction,median_torque_utilization,torque_active_fraction,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,middle,0,parameterized,notebook,snopt,all,True,0.0,0.3,1178565597,True,1.1269209384918213,49,0.84000563621521,17,17,5.984696378839106,,4.239167263994292,8.653506838271408,23.43304246023828,0.2358953864579915,13.688707113265991,False,SolutionResult.kIterationLimit,31,13.675354769,3023.9871130893066,12819.187176548794,13147.00710734559,41794.7244495297,0.006,0.036,12.540395440837745,0.9984390410238166,,113.79470158138844,9.505700886958486,67.15288548234946,47.931981716297756,0.992691330704218,0.51,0.24277152165038307,0.085,0.7901851663961477,0.1475,acceleration,29952.91458344085,20686.479422092587,4014886.1672536293,3977.8215727603856,401.37201784048807
bottom,middle,0,cspace,notebook,snopt,all,True,0.0,0.3,1178565597,True,1.1269209384918213,49,0.84000563621521,17,17,5.984696378839106,,4.239167263994292,8.653506838271408,23.43304246023828,0.11556008664341175,15.641084909439087,False,SolutionResult.kIterationLimit,31,15.629082744,788.9925182608678,6826.934614089014,6827.552152115399,21753.821321375945,0.042,0.128,10.58524770846289,0.9576733601477163,,100.2580103880631,24.45319878331662,1873.9133392294243,1323.0130208355654,0.996513672484413,0.53,0.2040045981895472,0.0625,0.7878738581557345,0.0875,acceleration,850120.2395615333,12328.538247855282,1920377235.3099918,3906.026409553165,2510.6176458717423
bottom,middle,0,kinetic,notebook,snopt,all,True,0.0,0.3,1178565597,True,1.1269209384918213,49,0.84000563621521,17,17,5.984696378839106,,4.239167263994292,8.653506838271408,23.43304246023828,0.042674782913777534,18.91350817680359,False,SolutionResult.kIterationLimit,31,18.904553518,1368.5333445011318,8393.535173333126,8735.10268896783,32068.899969946924,0.028,0.124,11.972531115833538,0.997696975898759,,145.9791048289981,11.571127828166523,59.59406946797235,41.913219307379066,0.9210795377527974,0.3775,0.1928254715767241,0.0925,0.8541330268311702,0.115,acceleration,55337.120575773035,47589.26122571634,6405357.877652716,4607.789779314369,1052.6217563550206
bottom,middle,0,parameterized,tight,snopt,all,True,0.0,0.3,1178565597,True,1.1269209384918213,49,0.84000563621521,17,17,5.984696378839106,,4.239167263994292,8.653506838271408,23.43304246023828,0.2358953864579915,14.391456365585327,False,SolutionResult.kIterationLimit,31,14.383568042,3023.9871130893066,12819.187176548794,13147.00710734559,41794.7244495297,0.006,0.036,12.540395440837745,0.9984390410238166,,113.79470158138844,9.505700886958486,67.15288548234946,47.931981716297756,0.992691330704218,0.51,0.24277152165038307,0.085,0.7901851663961477,0.1475,acceleration,29952.91458344085,20686.479422092587,4014886.1672536293,3977.8215727603856,401.37201784048807
bottom,middle,0,cspace,tight,snopt,all,True,0.0,0.3,1178565597,True,1.1269209384918213,49,0.84000563621521,17,17,5.984696378839106,,4.239167263994292,8.653506838271408,23.43304246023828,0.11556008664341175,17.388041257858276,False,SolutionResult.kIterationLimit,31,17.376138355,788.9925182608678,6826.934614089014,6827.552152115399,21753.821321375945,0.042,0.128,10.58524770846289,0.9576733601477163,,100.2580103880631,24.45319878331662,1873.9133392294243,1323.0130208355654,0.996513672484413,0.53,0.2040045981895472,0.0625,0.7878738581557345,0.0875,acceleration,850120.2395615333,12328.538247855282,1920377235.3099918,3906.026409553165,2510.6176458717423
bottom,middle,0,kinetic,tight,snopt,all,True,0.0,0.3,1178565597,True,1.1269209384918213,49,0.84000563621521,17,17,5.984696378839106,,4.239167263994292,8.653506838271408,23.43304246023828,0.042674782913777534,18.38888692855835,False,SolutionResult.kIterationLimit,31,18.380993509,1368.5333445011318,8393.535173333126,8735.10268896783,32068.899969946924,0.028,0.124,11.972531115833538,0.997696975898759,,145.9791048289981,11.571127828166523,59.59406946797235,41.913219307379066,0.9210795377527974,0.3775,0.1928254715767241,0.0925,0.8541330268311702,0.115,acceleration,55337.120575773035,47589.26122571634,6405357.877652716,4607.789779314369,1052.6217563550206
bottom,top,1,parameterized,notebook,snopt,all,True,0.0,0.3,502992042,True,0.21533679962158203,27,0.8195607662200928,16,16,5.130596156844041,,1.8186302897418822,5.849342098841292,24.082646596949488,0.5498643708072902,1.6931695938110352,True,SolutionResult.kSolutionFound,1,1.678273141,0.45844366299970807,0.8337395316714866,2.758871639178584,11.325042684001332,1.0,1.0,0.0,0.0,,2.720935584299219,1.0025039746227,1.2041816954655138,1.0037419934816092,1.0000353287014176,0.6875,0.26462758048335366,0.205,0.7343930232384108,0.03,acceleration,284.5775539474756,220.81286240344755,27852.627204793283,55.56262473642062,17.34607087692382
bottom,top,1,cspace,notebook,snopt,all,True,0.0,0.3,502992042,True,0.21533679962158203,27,0.8195607662200928,16,16,5.130596156844041,,1.8186302897418822,5.849342098841292,24.082646596949488,0.17095939733087112,3.6775898933410645,True,SolutionResult.kSolutionFound,1,3.666077197,0.2868537490235173,0.8999483614669079,1.6779057103737136,6.470777557316175,1.0,1.0,0.0,0.0,,1.8459302138443945,1.000675067451712,1.1413342594044456,1.0067548390055132,0.9999623433000757,0.625,0.44461748931498446,0.1,0.7479100421058127,0.065,acceleration,261.6548314797232,208.1752442433695,23192.935918469084,52.777464345085804,19.697442279477556
bottom,top,1,kinetic,notebook,snopt,all,True,0.0,0.3,502992042,True,0.21533679962158203,27,0.8195607662200928,16,16,5.130596156844041,,1.8186302897418822,5.849342098841292,24.082646596949488,0.0415236753973157,9.303679704666138,True,SolutionResult.kSolutionFound,1,9.294790336,0.24051780933254985,0.9269370764537115,1.5728897805143724,5.792305402428278,1.0,1.0,0.0,0.0,,1.656633023210487,1.0008003479096153,1.0984195609935885,1.0069804957685982,0.9999512617713489,0.595,0.4172208640138035,0.1175,0.7471220570838449,0.055,acceleration,262.06776482516625,208.62179541320768,21603.968783450557,54.20581468850412,23.074870087896247
bottom,top,1,parameterized,tight,snopt,all,True,0.0,0.3,502992042,True,0.21533679962158203,27,0.8195607662200928,16,16,5.130596156844041,,1.8186302897418822,5.849342098841292,24.082646596949488,0.5498643708072902,10.55885624885559,True,SolutionResult.kSolutionFound,1,10.551186825,0.27651731568535826,0.5028827659435083,3.198922716761892,13.114167006059018,0.998,0.998,0.0,2.0970093100647347e-05,,3.1190046450498516,1.0016720831930925,1.2346618375469125,1.0095304686732718,1.0000000515413383,0.7075,0.17499606817915647,0.1675,0.7085482097746776,0.0425,acceleration,296.65528420653345,227.05744235170732,29006.88003320422,60.36834439572001,21.81021832524908
bottom,top,1,cspace,tight,snopt,all,True,0.0,0.3,502992042,True,0.21533679962158203,27,0.8195607662200928,16,16,5.130596156844041,,1.8186302897418822,5.849342098841292,24.082646596949488,0.17095939733087112,41.741278648376465,True,SolutionResult.kSolutionFound,1,41.733676741,0.23254548410609585,0.7274147177863192,1.3602380900772144,5.4289180961592995,1.0,1.0,0.0,0.0,,1.7096837599244088,1.0006534436154977,1.0897638870391821,1.0073324015985488,0.9999705903719851,0.595,0.4095816853872716,0.125,0.7349969875276116,0.065,acceleration,258.8760880851494,206.57426956050963,21880.53917055241,50.14950995133903,24.965210731201932
