start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,snopt_solve_time,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,median_velocity_utilization,velocity_active_fraction,median_acceleration_utilization,acceleration_active_fraction,median_torque_utilization,torque_active_fraction,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,middle,0,parameterized,notebook,snopt,all,False,0.0,1.0,1178565597,True,0.8692381381988525,49,5.0067901611328125e-06,49,49,16.751695497601627,,1.899463706328367,13.008599163245602,45.684934759334375,0.5264643892211998,13.080620050430298,False,SolutionResult.kIterationLimit,31,13.055988699,1.1281162931841573,2.142815955420997,9.827762428582908,31.12780445312964,0.88,0.88,0.0,0.0,,7.2992861588164795,1.0356977812716819,1.1268698466713158,0.6441287788969435,0.8748260120008851,0.3625,0.86852903505466,0.24,0.2565493853484744,0.0,acceleration,793.0556775474299,442.89883864248407,95442.6798496583,127.4105319265703,25.94990511703304
bottom,middle,0,cspace,notebook,snopt,all,False,0.0,1.0,1178565597,True,0.8692381381988525,49,5.0067901611328125e-06,49,49,16.751695497601627,,1.899463706328367,13.008599163245602,45.684934759334375,0.07687222793560988,11.271166324615479,False,SolutionResult.kIterationLimit,31,11.263095932,0.842110463879167,2.8017555110068253,10.954677475778897,34.33172594504233,0.898,0.898,0.0,0.0,,7.991394732564754,1.0344230249898398,1.3255398187173673,0.6633302676557278,0.7234416108542918,0.195,0.9152209174768557,0.32,0.2704416856145266,0.0,acceleration,864.804331322611,479.88905870670715,109810.93586597085,119.33312440269833,19.044633925683474
bottom,middle,0,kinetic,notebook,snopt,all,False,0.0,1.0,1178565597,True,0.8692381381988525,49,5.0067901611328125e-06,49,49,16.751695497601627,,1.899463706328367,13.008599163245602,45.684934759334375,0.021889053913898376,12.337687730789185,False,SolutionResult.kIterationLimit,31,12.330695648,0.6659926205499841,2.9284742565026387,9.709368474935914,30.425829420024158,0.876,0.876,0.0,0.0,,7.085912544623521,1.0254394231528638,1.2602006706491247,0.6039394341061335,0.816075692712821,0.3575,0.8536921964778441,0.2325,0.29218784029324685,0.0,acceleration,832.1514318702125,463.99522164069947,100747.66242558698,126.36731512113947,22.29129672067439
bottom,middle,0,parameterized,tight,snopt,all,False,0.0,1.0,1178565597,True,0.8692381381988525,49,5.0067901611328125e-06,49,49,16.751695497601627,,1.899463706328367,13.008599163245602,45.684934759334375,0.5264643892211998,11.339385747909546,False,SolutionResult.kIterationLimit,31,11.332233114,1.1281162931841573,2.142815955420997,9.827762428582908,31.12780445312964,0.88,0.88,0.0,0.0,,7.2992861588164795,1.0356977812716819,1.1268698466713158,0.6441287788969435,0.8748260120008851,0.3625,0.86852903505466,0.24,0.2565493853484744,0.0,acceleration,793.0556775474299,442.89883864248407,95442.6798496583,127.4105319265703,25.94990511703304
bottom,middle,0,cspace,tight,snopt,all,False,0.0,1.0,1178565597,True,0.8692381381988525,49,5.0067901611328125e-06,49,49,16.751695497601627,,1.899463706328367,13.008599163245602,45.684934759334375,0.07687222793560988,10.012496709823608,False,SolutionResult.kIterationLimit,31,10.007609871,0.842110463879167,2.8017555110068253,10.954677475778897,34.33172594504233,0.898,0.898,0.0,0.0,,7.991394732564754,1.0344230249898398,1.3255398187173673,0.6633302676557278,0.7234416108542918,0.195,0.9152209174768557,0.32,0.2704416856145266,0.0,acceleration,864.804331322611,479.88905870670715,109810.93586597085,119.33312440269833,19.044633925683474
bottom,middle,0,kinetic,tight,snopt,all,False,0.0,1.0,1178565597,True,0.8692381381988525,49,5.0067901611328125e-06,49,49,16.751695497601627,,1.899463706328367,13.008599163245602,45.684934759334375,0.021889053913898376,11.506261348724365,False,SolutionResult.kIterationLimit,31,11.501387862,0.6659926205499841,2.9284742565026387,9.709368474935914,30.425829420024158,0.876,0.876,0.0,0.0,,7.085912544623521,1.0254394231528638,1.2602006706491247,0.6039394341061335,0.816075692712821,0.3575,0.8536921964778441,0.2325,0.29218784029324685,0.0,acceleration,832.1514318702125,463.99522164069947,100747.66242558698,126.36731512113947,22.29129672067439
bottom,top,1,parameterized,notebook,snopt,all,False,0.0,1.0,502992042,True,0.10611248016357422,27,2.384185791015625e-06,27,27,8.646320348448027,,1.000025639136721,5.01799045193077,19.179276880765713,0.9999743615206275,0.8340284824371338,True,SolutionResult.kSolutionFound,1,0.825991825,0.6278999665376701,0.6279160653507656,2.0585534773217335,8.664743040185787,1.0,1.0,0.0,0.0,,3.0826924615976083,1.0025668362960296,1.7221475448691792,0.5663898119880632,1.0000003915063684,0.7325,0.3086511184939967,0.0975,0.20756201218437492,0.0,acceleration,344.99100203793563,251.2459686750292,31741.651114256645,68.23000667943661,21.26760279977963
bottom,top,1,cspace,notebook,snopt,all,False,0.0,1.0,502992042,True,0.10611248016357422,27,2.384185791015625e-06,27,27,8.646320348448027,,1.000025639136721,5.01799045193077,19.179276880765713,0.19928296189069677,3.14011287689209,True,SolutionResult.kSolutionFound,1,3.132612237,0.23797320036480923,0.611014726517014,1.1941472472460208,4.835961957874451,0.998,0.998,0.0,0.0,,2.0658674496576515,1.000377383938436,1.5737359679605782,0.4917641908083256,0.9997419007073904,0.58,0.7142281276434097,0.2175,0.23599966398474181,0.0,acceleration,334.9604785428759,245.7177719193019,26922.003845429183,61.76850891262949,27.883552283990408
bottom,top,1,kinetic,notebook,snopt,all,False,0.0,1.0,502992042,True,0.10611248016357422,27,2.384185791015625e-06,27,27,8.646320348448027,,1.000025639136721,5.01799045193077,19.179276880765713,0.05213960913212887,2.766594409942627,True,SolutionResult.kSolutionFound,1,2.76159205,0.2799341541715857,0.6918045969200167,1.384426249519374,5.368934651239798,0.996,0.996,0.0,0.0,,2.242654834899569,1.000434298195482,1.5269287362168735,0.5424498579885844,0.9998643749492775,0.6125,0.6770735795395028,0.1525,0.23402776931645133,0.0,acceleration,342.81203294568024,249.88622835500598,27071.227285491732,63.10018437575333,21.878898886118364
bottom,top,1,parameterized,tight,snopt,all,False,0.0,1.0,502992042,True,0.10611248016357422,27,2.384185791015625e-06,27,27,8.646320348448027,,1.000025639136721,5.01799045193077,19.179276880765713,0.9999743615206275,11.535909175872803,True,SolutionResult.kSolutionFound,1,11.530360958,0.2903681679160798,0.29037561270524265,1.7038666550282053,6.932938651462565,1.0,1.0,0.0,1.2284756041314182e-05,,3.0138022547328682,1.0046975727386485,1.4175412947561727,0.35044987934488253,0.9999913940593378,0.6975,0.1931422158076458,0.1575,0.21054948827751213,0.0,acceleration,294.6779112324516,225.43563654490646,28342.118481694954,59.46842607363722,20.690675002442042
bottom,top,1,cspace,tight,snopt,all,False,0.0,1.0,502992042,True,0.10611248016357422,27,2.384185791015625e-06,27,27,8.646320348448027,,1.000025639136721,5.01799045193077,19.179276880765713,0.19928296189069677,47.47284007072449,False,SolutionResult.kSolverSpecificError,41,47.468160589,0.15586815933495726,0.4187322245625425,0.7821449353028396,3.2157762832951438,0.996,0.996,0.0,0.0,,1.7170989478483016,1.0004721801555854,1.299070276960447,0.41439703090389557,0.9999899609061187,0.6275,0.5597473090788145,0.115,0.22255362369470252,0.0,acceleration,259.0574070732922,206.9445709763767,22144.549313921463,50.328860293514076,22.968247084870455
bottom,top,1,kinetic,tight,snopt,all,False,0.0,1.0,502992042,True,0.10611248016357422,27,2.384185791015625e-06,27,27,8.646320348448027,,1.000025639136721,5.01799045193077,19.179276880765713,0.05213960913212887,59.51631736755371,False,SolutionResult.kSolverSpecificError,41,59.511644686,0.1630971633213594,0.4599696453925228,0.8209401081440807,3.1280856538078194,0.998,0.998,0.0,0.0,,1.6320842807924358,1.000184018410729,1.350253564511497,0.4342095634264635,0.9999848922159366,0.6275,0.48176975399527544,0.1375,0.2220610721867444,0.0,acceleration,269.2537577696243,212.74026849640887,21649.70090938599,52.76530787512469,28.107302997672132
