start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,median_velocity_utilization,velocity_active_fraction,median_acceleration_utilization,acceleration_active_fraction,median_torque_utilization,torque_active_fraction,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,middle,4,parameterized,notebook,ipopt,all,True,0.0,1.0,1095942084,True,0.3526322841644287,42,0.5648078918457031,11,11,3.1784319115945876,,6.300809260908588,12.030618147434614,41.17774215319822,0.15870977180728021,5.453299522399902,True,SolutionResult.kSolutionFound,5,0.025373396305716694,0.1598729304237646,0.8352494212694872,3.079980142619809,1.0,1.0,0.0,0.0,,1.4882086511631119,1.0004582732046934,1.160596867675185,0.3740368475995528,1.000000735393268,0.64,0.11217821131423084,0.1775,0.1948256242983763,0.0,acceleration,108.78361836742837,92.43226140932205,14996.014793357032,20.255506303380603,15.713647962512326
bottom,middle,4,cspace,notebook,ipopt,all,True,0.0,1.0,1095942084,True,0.3526322841644287,42,0.5648078918457031,11,11,3.1784319115945876,,6.300809260908588,12.030618147434614,41.17774215319822,0.08312124844667587,25.55159306526184,True,SolutionResult.kSolutionFound,5,0.03908299120101226,0.23760820181031178,0.47019254319892523,1.6868624234214853,1.0,1.0,0.0,0.0,,1.0059635099442656,1.0002161466647084,1.0944468396671092,0.36283993806246345,0.9999366850504223,0.5375,0.6857249439752313,0.285,0.2164759553541649,0.0,acceleration,112.12152029597007,94.03729540813157,11407.266143802188,17.460045579151355,15.468822172234786
bottom,middle,4,kinetic,notebook,ipopt,all,True,0.0,1.0,1095942084,True,0.3526322841644287,42,0.5648078918457031,11,11,3.1784319115945876,,6.300809260908588,12.030618147434614,41.17774215319822,0.02428496434504803,29.872854232788086,True,SolutionResult.kSolutionFound,5,0.04092011961713395,0.24151870850573004,0.4754135888230584,1.68499813447237,1.0,1.0,0.0,0.0,,1.012390466982345,1.0002688790873546,1.1070848265780935,0.3490952267311385,0.9999392992096809,0.535,0.6125933620968569,0.2975,0.21548554397636033,0.0,acceleration,110.42252258890362,93.03233499232063,11307.674425764042,17.35892646949719,14.465397696225413
bottom,middle,4,parameterized,tight,ipopt,all,True,0.0,1.0,1095942084,True,0.3526322841644287,42,0.5648078918457031,11,11,3.1784319115945876,,6.300809260908588,12.030618147434614,41.17774215319822,0.15870977180728021,11.455748796463013,True,SolutionResult.kSolutionFound,0,0.02523690262834943,0.15901290979735505,0.8574535410262502,3.278439630255967,1.0,1.0,0.0,1.6178079014661506e-05,,1.5253802696979264,1.0003532434970965,1.1424543751312144,0.37243385179385946,1.00000206401339,0.6275,0.11920403640612331,0.185,0.1967659779502376,0.0,acceleration,112.31195003472132,94.18356233772701,15190.335743512433,20.78734771983912,15.006593748770154
bottom,middle,4,cspace,tight,ipopt,all,True,0.0,1.0,1095942084,True,0.3526322841644287,42,0.5648078918457031,11,11,3.1784319115945876,,6.300809260908588,12.030618147434614,41.17774215319822,0.08312124844667587,61.532052755355835,True,SolutionResult.kSolutionFound,5,0.038933384183329436,0.23640222043677306,0.46839267829700676,1.6798708945440735,1.0,1.0,0.0,0.0,,1.0081614977409272,1.0002397654057873,1.1008632261201063,0.35387645215785346,0.9999306381443526,0.5325,0.6718224842012512,0.2975,0.21610725180114074,0.0,acceleration,111.44131690407934,93.4248060365388,11431.929330173998,17.37425799968551,15.015532202422738
bottom,middle,4,kinetic,tight,ipopt,all,True,0.0,1.0,1095942084,True,0.3526322841644287,42,0.5648078918457031,11,11,3.1784319115945876,,6.300809260908588,12.030618147434614,41.17774215319822,0.02428496434504803,91.8674726486206,True,SolutionResult.kSolutionFound,5,0.04084082059835733,0.23928247113492024,0.4733367727760039,1.6817327799241848,1.0,1.0,0.0,0.0,,1.011607978911842,1.0002580920025888,1.1028329462845676,0.36685857183554993,0.9999470071827117,0.535,0.6207824505085364,0.2925,0.21677468776616524,0.0,acceleration,110.51222685036706,93.41271833514739,11316.528325611427,17.32470362441932,14.727697126497956
bottom,top,5,parameterized,notebook,ipopt,all,True,0.0,1.0,446089395,True,0.5762617588043213,42,0.6141304969787598,18,18,5.877713839988203,,3.70798496047286,7.84700276777129,26.45416836391498,0.26968825673782537,5.552420139312744,True,SolutionResult.kSolutionFound,5,0.12309877110670311,0.456448391916344,3.1059278023313492,13.016666280941713,0.998,0.998,0.0,0.0,,3.2216432685991054,1.0030417703145693,1.0491357244596258,0.3721762634040985,0.9999983402947221,0.74,0.19374174352205098,0.145,0.21396531762124538,0.0,acceleration,304.35546354798,229.87424396611442,30446.284156483423,63.030669288301624,24.211537046339732
bottom,top,5,cspace,notebook,ipopt,all,True,0.0,1.0,446089395,True,0.5762617588043213,42,0.6141304969787598,18,18,5.877713839988203,,3.70798496047286,7.84700276777129,26.45416836391498,0.12743719221141814,60.33759832382202,False,SolutionResult.kSolverSpecificError,3,8.480306147506107,18.517725692296786,66.54498581102831,178.03207840746438,0.996,0.996,0.0,0.0,,5.868514495819962,1.258662909233824,1.016369746669311,0.6941459374446703,1.0005458806212684,0.675,0.5267961721818193,0.125,0.23957576987681642,0.0,velocity,805.3288612668157,489.7532763033031,55922.14874206124,153.3563466076981,29.954990644825685
bottom,top,5,kinetic,notebook,ipopt,all,True,0.0,1.0,446089395,True,0.5762617588043213,42,0.6141304969787598,18,18,5.877713839988203,,3.70798496047286,7.84700276777129,26.45416836391498,0.037801226114673785,60.20431995391846,False,SolutionResult.kSolverSpecificError,3,0.17855156180523218,0.707663696737588,1.3018734854632172,4.723433077635582,1.0,1.0,0.0,0.0,,1.6685328567910813,1.0009219049090956,1.0371819747686373,0.44313863430476885,0.9999678907521272,0.6325,0.49992132443209125,0.145,0.20510858117357794,0.0,acceleration,273.48873519414235,214.38625263978145,20038.70320815224,50.8221036588466,30.905341999462888
bottom,top,5,parameterized,tight,ipopt,all,True,0.0,1.0,446089395,True,0.5762617588043213,42,0.6141304969787598,18,18,5.877713839988203,,3.70798496047286,7.84700276777129,26.45416836391498,0.26968825673782537,16.73975443840027,True,SolutionResult.kSolutionFound,5,0.12006857473204133,0.4452124693318219,3.3160964081906275,13.560948637681701,0.998,0.998,0.0,5.1366827211296595e-05,,3.338473284015987,1.0028541549052492,1.0110943676210602,0.3451849266584421,0.9999963383596335,0.7175,0.19466058908557446,0.1275,0.21415737807482493,0.0,acceleration,305.2789243219472,230.96910681501168,30807.137180245063,62.845491764522976,22.50730943859374
