start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,snopt_solve_time,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,middle,0,parameterized,notebook,snopt,no-acceleration,True,0.0,1.0,1178565597,True,0.5440912246704102,49,0.5221168994903564,17,17,3.778449993589738,,4.239167263994292,8.653506838271408,23.43304246023828,0.2358953864579915,7.9705541133880615,False,SolutionResult.kIterationLimit,31,7.962090168,3023.9871130893066,12819.187176548794,13147.00710734559,41794.7244495297,0.006,0.036,12.540395440837745,0.9984390410238166,,101.11836621216244,11.5317270036401,218.5549369849535,33.98836754463194,acceleration,90233.63378059931,82857.50859160842,26763582.893172853,4822.166810579847,1380.1336176707578
bottom,middle,0,cspace,notebook,snopt,no-acceleration,True,0.0,1.0,1178565597,True,0.5440912246704102,49,0.5221168994903564,17,17,3.778449993589738,,4.239167263994292,8.653506838271408,23.43304246023828,0.11556008664341175,9.819635152816772,False,SolutionResult.kIterationLimit,31,9.808914988,788.9925182608678,6826.934614089014,6827.552152115399,21753.821321375945,0.042,0.128,10.58524770846289,0.9576733601477163,,82.96480708328217,8.857119702055344,26.091969373899577,5.515222404598765,acceleration,18099.57896086087,10588.159389032344,1668485.5619871933,2904.659964699395,339.7949710200838
bottom,middle,0,kinetic,notebook,snopt,no-acceleration,True,0.0,1.0,1178565597,True,0.5440912246704102,49,0.5221168994903564,17,17,3.778449993589738,,4.239167263994292,8.653506838271408,23.43304246023828,0.042674782913777534,12.568968296051025,False,SolutionResult.kIterationLimit,31,12.562956817,1368.5333445011318,8393.535173333126,8735.10268896783,32068.899969946924,0.028,0.124,11.972531115833538,0.997696975898759,,106.38990661673567,141.0466236952079,53707.08433955465,8881.847519863279,acceleration,176152158.42234045,14841.340972434398,1314990147689.129,84814.82950380271,150967.4760387268
bottom,middle,0,parameterized,tight,snopt,no-acceleration,True,0.0,1.0,1178565597,True,0.5440912246704102,49,0.5221168994903564,17,17,3.778449993589738,,4.239167263994292,8.653506838271408,23.43304246023828,0.2358953864579915,8.827772617340088,False,SolutionResult.kIterationLimit,31,8.822314259,3023.9871130893066,12819.187176548794,13147.00710734559,41794.7244495297,0.006,0.036,12.540395440837745,0.9984390410238166,,101.11836621216244,11.5317270036401,218.5549369849535,33.98836754463194,acceleration,90233.63378059931,82857.50859160842,26763582.893172853,4822.166810579847,1380.1336176707578
bottom,middle,0,cspace,tight,snopt,no-acceleration,True,0.0,1.0,1178565597,True,0.5440912246704102,49,0.5221168994903564,17,17,3.778449993589738,,4.239167263994292,8.653506838271408,23.43304246023828,0.11556008664341175,9.559182405471802,False,SolutionResult.kIterationLimit,31,9.553431842,788.9925182608678,6826.934614089014,6827.552152115399,21753.821321375945,0.042,0.128,10.58524770846289,0.9576733601477163,,82.96480708328217,8.857119702055344,26.091969373899577,5.515222404598765,acceleration,18099.57896086087,10588.159389032344,1668485.5619871933,2904.659964699395,339.7949710200838
bottom,middle,0,kinetic,tight,snopt,no-acceleration,True,0.0,1.0,1178565597,True,0.5440912246704102,49,0.5221168994903564,17,17,3.778449993589738,,4.239167263994292,8.653506838271408,23.43304246023828,0.042674782913777534,11.721877813339233,False,SolutionResult.kIterationLimit,31,11.716447984,1368.5333445011318,8393.535173333126,8735.10268896783,32068.899969946924,0.028,0.124,11.972531115833538,0.997696975898759,,106.38990661673567,141.0466236952079,53707.08433955465,8881.847519863279,acceleration,176152158.42234045,14841.340972434398,1314990147689.129,84814.82950380271,150967.4760387268
bottom,top,1,parameterized,notebook,snopt,no-acceleration,True,0.0,1.0,502992042,True,0.18483233451843262,27,0.6271212100982666,16,16,3.024333644093958,,1.8186302897418822,5.849342098841292,24.082646596949488,0.5498643708072902,0.8552331924438477,True,SolutionResult.kSolutionFound,1,0.845770383,0.45844366299970807,0.8337395316714866,2.758871639178584,11.325042684001332,1.0,1.0,0.0,0.0,,2.4775820363936334,1.0025617674510845,6.135659831275957,1.0023308736749128,acceleration,321.57268422509964,239.02424333851647,35285.010944339665,60.34403891212884,32.891876722833324
bottom,top,1,cspace,notebook,snopt,no-acceleration,True,0.0,1.0,502992042,True,0.18483233451843262,27,0.6271212100982666,16,16,3.024333644093958,,1.8186302897418822,5.849342098841292,24.082646596949488,0.17095939733087112,2.6793177127838135,True,SolutionResult.kSolutionFound,1,2.670975898,0.2868537490235173,0.8999483614669079,1.6779057103737136,6.470777557316175,1.0,1.0,0.0,0.0,,1.6562003789138018,1.0008823042044752,4.397640103876253,0.9999999999999997,acceleration,277.22936667445794,216.8085152867953,30422.366674000627,56.57638306216562,33.255099509404616
bottom,top,1,kinetic,notebook,snopt,no-acceleration,True,0.0,1.0,502992042,True,0.18483233451843262,27,0.6271212100982666,16,16,3.024333644093958,,1.8186302897418822,5.849342098841292,24.082646596949488,0.0415236753973157,5.791725397109985,True,SolutionResult.kSolutionFound,1,5.784540022,0.24051780933254985,0.9269370764537115,1.5728897805143724,5.792305402428278,1.0,1.0,0.0,0.0,,1.4813963290842742,1.0008894353608686,4.744887507224597,1.17795583137686,acceleration,272.0013034580518,214.1756003877547,28415.59177919924,57.62594373902741,29.02313804082558
bottom,top,1,parameterized,tight,snopt,no-acceleration,True,0.0,1.0,502992042,True,0.18483233451843262,27,0.6271212100982666,16,16,3.024333644093958,,1.8186302897418822,5.849342098841292,24.082646596949488,0.5498643708072902,6.695200443267822,True,SolutionResult.kSolutionFound,1,6.690167171,0.27651731568535826,0.5028827659435083,3.198922716761892,13.114167006059018,0.998,0.998,0.0,2.0970093100647347e-05,,2.8542720813559526,1.0021442912613627,6.378199663081513,0.8948270424057497,acceleration,330.98664106883353,243.2454236945258,34730.12588768884,65.48569653796642,22.910819259597883
