start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,snopt_solve_time,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,middle,0,parameterized,notebook,snopt,all,True,28.0,1.0,1178565597,True,0.5534782409667969,49,0.4980432987213135,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,30.261575171516395,0.2358953864579915,8.28937578201294,False,SolutionResult.kIterationLimit,31,8.280823324,3023.9871130893066,12819.187176548794,13147.00710734559,68799.21023467697,0.006,0.036,12.540395440837745,0.9984390410238166,TOPPRA returned no path parameterization,nan,,,,,,,,,
bottom,middle,0,cspace,notebook,snopt,all,True,28.0,1.0,1178565597,True,0.5534782409667969,49,0.4980432987213135,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,30.261575171516395,0.11556008664341175,8.753173589706421,False,SolutionResult.kIterationLimit,31,8.746158756,788.9925182608678,6826.934614089014,6827.552152115399,43250.64486556982,0.042,0.128,10.58524770846289,0.9576733601477163,TOPPRA returned no path parameterization,nan,,,,,,,,,
bottom,middle,0,kinetic,notebook,snopt,all,True,28.0,1.0,1178565597,True,0.5534782409667969,49,0.4980432987213135,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,30.261575171516395,0.03304520648155971,7.970879077911377,False,SolutionResult.kIterationLimit,31,7.965246908,1.608873767401129,8.477049524787077,15.643208246873165,48.68705445369005,0.836,0.836,0.0,0.0,,3.6578132403529358,1.0041697036354398,1.5216390346245223,1.0066907390046846,acceleration,1046.2498787497946,612.2510961665034,263986.3499299474,93.07699597426975,37.426372437639465
bottom,middle,0,parameterized,tight,snopt,all,True,28.0,1.0,1178565597,True,0.5534782409667969,49,0.4980432987213135,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,30.261575171516395,0.2358953864579915,8.459645509719849,False,SolutionResult.kIterationLimit,31,8.454108474,3023.9871130893066,12819.187176548794,13147.00710734559,68799.21023467697,0.006,0.036,12.540395440837745,0.9984390410238166,TOPPRA returned no path parameterization,nan,,,,,,,,,
bottom,middle,0,cspace,tight,snopt,all,True,28.0,1.0,1178565597,True,0.5534782409667969,49,0.4980432987213135,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,30.261575171516395,0.11556008664341175,9.4457528591156,False,SolutionResult.kIterationLimit,31,9.440518127,788.9925182608678,6826.934614089014,6827.552152115399,43250.64486556982,0.042,0.128,10.58524770846289,0.9576733601477163,TOPPRA returned no path parameterization,nan,,,,,,,,,
bottom,middle,0,kinetic,tight,snopt,all,True,28.0,1.0,1178565597,True,0.5534782409667969,49,0.4980432987213135,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,30.261575171516395,0.03304520648155971,8.569706439971924,False,SolutionResult.kIterationLimit,31,8.563411409,1.608873767401129,8.477049524787077,15.643208246873165,48.68705445369005,0.836,0.836,0.0,0.0,,3.6578132403529358,1.0041697036354398,1.5216390346245223,1.0066907390046846,acceleration,1046.2498787497946,612.2510961665034,263986.3499299474,93.07699597426975,37.426372437639465
bottom,middle,4,parameterized,notebook,snopt,all,True,28.0,1.0,1095942084,True,0.39925503730773926,42,0.7110879421234131,11,11,3.5023124065913285,,6.300809260908588,12.030618147434614,59.63012097445322,0.15870977180728021,3.0415289402008057,True,SolutionResult.kSolutionFound,1,3.032930595,0.14727207956296978,0.9279332827836249,2.517916162033488,15.430332379942609,1.0,1.0,0.0,0.0,,1.9763725511500032,1.000471130351015,1.1225204234305677,0.9539110502016467,acceleration,476.70283282869184,324.78827116550406,126372.86901675307,74.43043504820602,31.736990362925084
bottom,middle,4,cspace,notebook,snopt,all,True,28.0,1.0,1095942084,True,0.39925503730773926,42,0.7110879421234131,11,11,3.5023124065913285,,6.300809260908588,12.030618147434614,59.63012097445322,0.08312124844667587,2.4744179248809814,True,SolutionResult.kSolutionFound,1,2.467763177,0.17539002758660874,1.213825251821103,2.1100504487625127,13.918898333713031,1.0,1.0,0.0,0.0,,1.735469462712845,1.0005295251807915,1.06000242510186,0.9964208327682155,acceleration,539.2692917344586,355.86849431422,117787.66999618275,77.37158025716158,34.85573244584213
bottom,middle,4,kinetic,notebook,snopt,all,True,28.0,1.0,1095942084,True,0.39925503730773926,42,0.7110879421234131,11,11,3.5023124065913285,,6.300809260908588,12.030618147434614,59.63012097445322,0.01677004815114195,4.394659519195557,True,SolutionResult.kSolutionFound,1,4.388907234,0.23258141609991598,1.5759504925913523,2.757354627995774,13.868857978447629,1.0,1.0,0.0,0.0,,1.6792011365809665,1.0004019154999428,1.0858337452931113,1.0040343558501885,acceleration,578.4447754978389,376.83782820301406,118416.07623927205,81.52893336964435,45.22608307274061
bottom,middle,4,parameterized,tight,snopt,all,True,28.0,1.0,1095942084,True,0.39925503730773926,42,0.7110879421234131,11,11,3.5023124065913285,,6.300809260908588,12.030618147434614,59.63012097445322,0.15870977180728021,5.6103668212890625,True,SolutionResult.kSolutionFound,1,5.605009153,0.02524948415715783,0.1590921836105833,0.8613961585520471,4.203717626773421,1.0,1.0,0.0,1.3133476536530964e-05,,1.5194216689726405,1.0003643338791124,1.142155484347722,1.00105833728787,acceleration,244.0456606468502,206.8806615260214,71860.31843995383,27.265064766332742,22.807608566939308
